codtipovia,codvia,codviacatastro,nomoficial,traducnooficial
C/,1140,31,ALBACETE,ALBACETE
C/,1170,32,ALBAIDA,ALBAIDA
C/,81707,11128,JUAN JOS� BARCIA GOYANES (PROFESSOR),JUAN JOSE BARCIA GOYANES (PROFESSOR)
C/,81708,11157,MARGARITA SALAS (CIENT�FICA),MARGARITA SALAS (CIENTIFICA)
C/,81710,11116,CRIST�BAL VALLS LLORENS (METGE),CRISTOBAL VALLS LLORENS (METGE)
C/,81711,11271,CASES BAIXES,CASAS BAJAS
C/,81712,11103,SANTA PAULA MONTAL,SANTA PAULA MONTALT (ESCOLAPIA , FUNDADORA)
PL,81713,11094,SANTA MARIA MAZZARELLO,SANTA MARIA MAZZARELLO
C/,81714,11089,DIEGO SEVILLA (CATEDR�TIC),DIEGO SEVILLA (CATEDRATIC)
C/,81719,11124,ANGEL GUARDA CORTES (FUNDADOR AV. BENIMACLET),ANGEL GUARDIA CORTES (FUNDADOR AV.BENIMACLET
PL,81725,11107,DECIMO JUNIO BRUTO (CONSOL ROMA),null
PL,81734,11251,HUGO ZARATE,null
PL,81738,11121,EUROPA,EUROPA (PLA�A)
LLOC,81740,11127,PONT DE L'ASSUT DE L'OR,PONT DE L'ASSUT DE L'OR
PL,81742,11135,MELCHOR HOYOS P�REZ,MELCHOR HOYOS PEREZ
C/,81754,11222,BARQUERA,BARQUERA
C/,81767,11227,COCOTERS,null
C/,81770,11230,JOSE PASTOR MORENO (PRESIDENT TRIBUNAL AIG�ES),JOSE PASTOR MORENO
C/,81786,0,EP SECTOR FUENTE SAN LUIS A,EP SECTOR FUENTE SAN LUIS A
C/,81799,0,EP SAN VICENTE M�RTIR 254,EP SAN VICENTE MARTIR 254
C/,81807,11229,HORTOLANES,null
PL,81812,11183,CASA DE LA DEMAN�,CASA DE LA DEMANA
C/,360,2322,ACAD�MIC CASTA�EDA,ACADEMICO CASTA�EDA
C/,510,2412,CUIRASSAT,ACORAZADO
C/,81380,3324,LLORERS,LLORERS
ENTD,44430,1275,MALENA,MALENA
C/,131153,0,E.P. PE. SAN JUAN DE DIOS,null
C/,151148,0,E.P. PE. FRANCISCO FALCONS,null
C/,191142,0,PARC PROL MOTILLA DEL PALANCAR,null
C/,230105,0,EN PROYECTO JUNTO 346 AV CONSTITUCION,null
C/,232157,0,E.P. PE. DUQUE DE MANDAS,null
C/,242107,0,EN PROYECTO PROL. CARLOS CORTINA,null
C/,242113,0,EN PROYECTO PERP.16 SALU CERVERO,null
C/,242475,0,EN PRO. PE. GENERAL AVILE,null
C/,242480,0,PROLONG. MAESTRO RODRIGO,null
C/,242484,0,EN PROYECTO PARAL. BENIFAIRO,null
C/,242488,0,EN PROYECTO PA. SAN CLEMENTE,null
C/,272162,0,E.P. 2 PA. A LA ELIANA,null
C/,282122,0,E.P.CONT. PLAZA PATRONA,null
C/,404030,0,NUMERO DIEZ,null
C/,444422,0,NUMERO DOS,null
C/,444425,0,NUMERO CINCO,null
C/,444429,0,NUMERO NUEVE,null
C/,444435,0,NUMERO QUINCE,null
C/,444439,0,NUMERO DIECINUEVE,null
C/,444443,0,NUMERO VEINTITRES,null
C/,444447,0,NUMERO VEINTISIETE,null
C/,81324,3211,PINTOR GASSENT,PINTOR GASSENT
C/,444451,0,NUMERO TREINTA Y UNO,null
C/,444455,0,NUMERO TREINTA Y CINCO,null
C/,444459,0,NUMERO TREINTA Y NUEVE,null
C/,444464,0,NUMERO CUARENTA Y CUATRO,null
C/,444469,0,NUMERO CUARENTA Y NUEVE,null
C/,555102,0,NUMERO SESENTA Z-DI.15 ES,null
C/,555589,0,EN PROYECTO JTO.9 AZAGADOR DEL MORRO,null
C/,555597,0,NUMERO CINCUENTA Y SEIS,null
C/,654030,0,OSO,null
C/,666613,0,ROSETA LA FLORISTA,null
C/,888177,0,EN PROYECTOS,null
C/,888883,0,EN PROYECTO PA.CMNO.VIEJO,null
LLOC,990007,0,PARTIDA ABRE DEL GOS Y RECATI,null
LLOC,990011,0,PDA CUARTE SAN MIGUEL SOTERNES,null
LLOC,990016,0,PARTIDA DE OLLERIA,null
LLOC,990020,0,PARTIDA RINCON DE SAN LORENZO,null
LLOC,990024,0,PARTIDA SANTO TOMAS,null
LLOC,990028,0,POBLADO DE BENIMACLET,null
LLOC,990032,0,PARTIDA DE CAMPANAR,null
LLOC,990036,0,POBLADO MAHUELLA Y TAULADELLA,null
LLOC,990041,0,POBLADO DEL PERELLONET -PALMAR-,null
C/,990070,3354,PG NUM.1 SCA PP24A,null
C/,990087,2938,PG NUM.70,null
C/,990094,3048,PG NUM 93,null
C/,990102,3043,DS DISEMINADOS,null
C/,990106,0,ING M CANOVAS (F),null
LLOC,990114,0,V-30,null
LLOC,990131,0,TRAMO 3,null
LLOC,990138,0,TRAMO 9,null
C/,990192,0,MERCADO RUZAFA,null
C/,81629,11104,JOS� BELENGUER CUENCA,JOSE BELENGUER CUENCA
C/,81646,0,EP ISLA CABRERA (PARALELA),null
PL,81648,11046,AUTOR,AUTOR
C/,81657,11080,FRANCESC LLOS� I VIGUER,FRANCESC LLOSA I VIGUER
C/,990218,0,APARTADO 20.000,null
C/,81660,0,EP CAMINO ALMENAR 16,EP CAMINO ALMENAR 16
C/,81664,11106,PARE GASPAR FRANC�S,PARE GASPAR FRANCES
C/,81671,11109,FERNANDO SENENT P�REZ (CATEDR�TIC),FERNANDO SENENT PEREZ (CATEDRATIC)
C/,81682,11092,RAM�N PAY� (METGE I M�SIC),RAMON PAYA (METGE I MUSIC)
LLOC,81687,0,PONT DE LES ARTS,PUENTE DE LAS ARTES
LLOC,81694,0,PONT DE LES FLORS,PUENTE DE LAS FLORES
C/,68610,1973,SANT MART�,SAN MARTIN
SENDA,68760,1978,SANT MIQUEL DE SOTERNES,SAN MIGUEL DE SOTERNES
ENTD,69510,1989,SANQUES,SANQUES
C/,69900,2003,SANTA IRENE,SANTA IRENE
C/,71480,0,ZZ BAJA: SIN NOMBRE PSO PECHINA,null
CV,68520,1970,SANT LLU�S,SAN LUIS
ENTD,73410,2113,TORRETA DE MALILLA,TORRETA DE MALILLA
C/,73620,2404,TRAMUNTANA,TRAMONTANA
ENTD,73860,2124,TRENCAPEROLS,TRENCA PEROLS
ENTD,75060,3425,VENTURA,VENTURA
C/,75960,2187,VIDAL,VIDAL
C/,80140,2688,VILLARRUBIA,null
C/,81107,2804,ROSA ESTRUCH ESPIN�S (POL�TICA),ROSA ESTRUCH ESPIN�S (POL�TICA)
C/,81223,3306,MIQUEL GRAU,MIGUEL GRAU
C/,81302,3193,JOC DE PILOTA,JOC DE PILOTA
C/,52800,1511,S�NIA DE BENIM�MET,NORIA
ENTD,53430,1528,OLIVA,OLIVA
C/,53580,1535,OMET,OMET
C/,50760,2435,MOSS�N RAUSELL,MOSSEN RAUSELL
C/,51450,2451,M�SIC BARBIERI,MUSICO BARBIERI
PL,51570,2329,M�SIC ESP�,MUSICO ESPI
C/,54870,1573,PARE PORTA,PADRE PORTA
C/,55620,2619,PARE PRESENTAT,PARE PRESENTAT
ENTD,56760,1627,PEDR�S,PEDROS
ENTD,58292,3424,PINET,PINET
C/,58950,1692,PINTOR NICOLAU,PINTOR NICOLAU
C/,60270,2280,POETA IRANZO SIM�N,POETA IRANZO SIMON
ENTD,62100,1782,QUILIS,QUILIS
C/,62760,2389,RAMON GORDILLO,RAMON GORDILLO
C/,63510,1823,REMOL�,REMOLINO
PL,34560,1000,GRAVADOR PLANES,GRABADOR PLANES
C/,34710,1004,GRANERO,GRANERO
C/,35340,1022,HELL�N,HELLIN
CAMI,36120,1040,FORN D'ALCEDO,HORNO DE ALCEDO
C/,36390,2274,HORTICULTOR GAL�N,HORTICULTOR GALAN
C/,34080,989,GODOFRED ROS,GODOFREDO ROS
C/,38970,1115,JOSEP MAESTRE,JOSE MAESTRE
C/,40260,2522,JULI�N GAYARRE,JULIAN GAYARRE
C/,42630,1220,LUCR�CIA BORI,LUCRECIA BORI
AV,45180,1297,MARCONI,MARCONI
C/,45540,1305,MARI� ALAPONT,MARIANO ALAPONT
ENTD,46500,1334,MART�,MARTI
CAMI,49140,1409,MOL�,MOLINO
PL,50130,1442,MONTOLIVET,MONTEOLIVETE
C/,17910,539,SEDASSERS,CEDACEROS
C/,18000,541,CEMENTERIO DEL HOSPITAL,null
C/,18180,2580,CERAMISTA MATEU,CERAMISTA MATEU
C/,20910,627,CORONEL MONTESINOS,CORONEL MONTESINOS
C/,21390,644,CREUETA ALTA,CREUETA ALTA
ENTD,16260,485,CASA DEL MORENO,CASA EL MORENO
ENTD,16420,2980,CASA PATES,null
ENTD,16560,494,CASA DE ROC,CASA ROC
ENTD,17100,515,CASES,CASES
C/,17370,523,CASTELL DE BENISSAN�,CASTILLO DE BENISANO
CAMI,17670,532,CATARROS,CATARROS
C/,24510,721,DOCTOR MODEST COGOLLOS,DOCTOR MODESTO COGOLLOS
C/,26250,768,EDUARD GONZ�LEZ,EDUARDO GONZALEZ
C/,26880,785,EMILI ROIG,EMILIO ROIG
C/,28110,2263,ERUDIT PAG�S,ERUDITO PAGES
C/,29430,2507,FALUA,FALUA
ENTD,29940,871,FERM�,FERMIN
CTRA,30570,890,FONT DE BONET,FONT DE BONET
C/,31560,917,FRAY LUIS GALIANA,null
CAMI,32190,936,GAFARR�,GAFARRON
C/,81613,11047,JORGE COM�N (METGE PEDIATRE),JORGE COMIN (METGE PEDIATRE)
C/,81614,11064,CARLOS CLIMENT GONZ�LEZ (JURISTA),CARLOS CLIMENT GONZALEZ (JURISTA)
C/,81615,0,EP MENORCA 22,null
C/,3000,84,ALMOINES,ALMOINES
ENTD,3630,107,ALQUERIA DE COCA,ALQUERIA DE COCA
CAMI,3780,111,ALQUERIA FAVONET,ALQUERIA FABONET
CAMI,3900,114,ALQUERIA DEL GRANDE,ALQUERIA EL GRANDE
ENTD,4440,131,ALQUERIA DEL SABATER,ALQUERIA DEL SABATER
C/,5220,159,EMPAR,AMPARO
C/,6660,2331,ARQUITECTE GILABERT,ARQUITECTO GILABERT
CAMI,7800,236,ASSAGADOR DELS BOUS,AZAGADOR DELS BOUS
C/,9150,273,BARRANC,BARRANCO
CAMI,12690,380,CAVALL�,CAVALLO
C/,81632,11045,VICENT RAGA (BALLARI I COMPOSITOR),VICENTE RAGA (BALLARI I COMPOSITOR)
LLOC,990236,0,PASO INFERIOR ANGEL GUIMERA,null
LLOC,990232,0,PUENTE DE LA TORRE,null
LLOC,990233,0,PUENTE DE BENETUSER,null
LLOC,990235,0,PASO INFERIOR PECHINA - BLANQUERIAS,null
LLOC,990238,0,PASO INFERIOR MAURO GUILLEN,null
C/,81638,11115,LEOPOLDO PILES ROS (PROFESSOR),null
C/,81643,0,EP EVARISTO CRESPO AZORIN 41,null
C/,81644,0,EP PARALELA A C/EP EVARISTO CRESPO AZORIN 41,null
C/,13890,417,CAMPOS CRESPO,CAMPOS CRESPO
C/,14160,424,CANONGE FENOLLERA,CANONIGO FENOLLERA
ENTD,15540,462,CASA DE L'ALCAT�,CASA ALCATI
ENTD,15720,468,CASA DE CALIU,CASA CALIU
ENTD,15870,473,CASA DE DON CARLOS,CASA DON CARLOS
ENTD,16110,481,CASA DEL LLOP,CASA EL LLOP
PL,81516,11096,VICENTE CASTELL MAIQUES (HISTORIADOR),VICENTE CASTELL MAIQUES (HISTORIADOR)
PL,81518,0,EP CAMPAMENTO 12,EP CAMPAMENTO 12
C/,81519,0,EP RAMON MARQUET 8,null
C/,81520,3611,EMILI NADAL (MESTRE),EMILIO NADAL (MESTRE)
LLOC,990201,0,MARJAL RAFALELL VISTABELLA,null
CTRA,990202,0,TAVERNES BLANQUES A ALBORAYA,null
C/,81521,3604,PEDRO SUC�AS (HISTORIADOR),PEDRO SUCIAS (HISTORIADOR)
PG,990215,0,PASEO MARITIMO,null
C/,81524,11016,ALEJANDRO CABEZAS (MESTRE),ALEJANDRO CABEZAS (MESTRE)
PTGE,81533,3510,EMILI MARIA APARICIO OLMOS,EMILI MARIA APARICIO OLMOS
PL,81534,0,EP ESCRITOR RAFAEL FERRERES 10,null
LLOC,990118,0,GUADASEQUIES F,null
CAMI,990119,0,CARPESA A BONREPOS,null
PL,81541,3626,LUIS CASANOVA,LUIS CASANOVA
C/,81748,11146,EP VICENTE BALDOV� (PERPENDICULAR),EP VICENTE BALDOVI (PERPENDICULAR)
PL,81544,3610,JOAQUIM MU�OZ PEIRATS,JOAQUIN MU�OZ PEIRATS
C/,81547,11024,JUAN REUS PARRA (PINTOR I CASTELLISTA),JUAN REUS PARRA (PINTOR I CARTELLISTA)
C/,81550,0,EP SERRELA (PARALELA),EP SERRELLA  LA (PARALELA)
C/,81551,0,EP ESCRITOR RAFAEL FERRERES -PARALELA-,null
C/,81571,3568,MUNICIPI DE LA RODA,MUNICIPI DE LA RODA
C/,81599,3598,RIBERA BAIXA,RIBERA BAIXA
CTRA,990230,0,CARPESA A TAVERNES BLANQUES,null
LLOC,990231,0,CALATRAVA (PUENTE),null
C/,81162,3012,JOSEP MELI� (PIGMALION),JOSE MELIA (PIGMALION)
C/,80940,3164,PEDRONES,PEDRONES
C/,81749,11147,EP MARTI GIRBES (PERPENDICULAR),EP PINTOR MARTI GIRBES (PERPENDICULAR)
PL,64520,3355,RIU DUERO,RIO DUERO
C/,56190,3360,PATRIQUES,PATRIQUES
PTGE,990141,0,PASAJE RUZAFA,null
C/,81476,0,EP ADOR 53,null
C/,81477,0,EP PIO XII JT 76,null
C/,81479,3512,PIVEROT,PIVEROT
C/,81480,3511,S�QUIA DEL REI,SEQUIA DEL REI
CV,990120,0,DEVESA,null
CAMI,990150,0,CREU,null
CAMI,990151,0,TALLAFOC DE LA DEVESA,null
CAMI,990152,0,TALLAFOC DEL SALER,null
CAMI,990153,0,TALLAFOC DE LA RAMBLA,null
CAMI,990154,0,TALLAFOC DELS FERROS,null
CAMI,990155,0,TALLAFOC DE LA CALLE,null
CAMI,990157,0,TALLAFOC DE LA GARROFERA,null
CAMI,990158,0,TALLAFOC DE LA SANXA,null
CAMI,990160,0,TALLAFOC DEL RACO DE L'OLLA,null
CAMI,990161,0,TALLAFOC DEL VIRREY,null
CAMI,990163,0,ESTANY DEL PUJOL,null
CAMI,990165,0,PLATJA DE LA GARROFERA,null
CAMI,990166,0,PLATJA DE LA BRAVA,null
CAMI,990168,0,PLATJA DE L'ALCATI,null
CAMI,990171,0,EL MUNTANYAROT,null
CAMI,990172,0,CLOT DEL PUJOL,null
LLOC,111111,0,PONTON PASARELA,null
C/,990174,0,MERCAVALENCIA,null
C/,990175,0,MERCADO ALGIROS,null
C/,990176,0,MERCADO BENICALAP,null
C/,990177,0,MERCADO BENIMACLET,null
C/,990178,0,MERCADO BENIMAMET,null
C/,990179,0,MERCADO CABA�AL,null
C/,990180,0,MERCADO CASTILLA,null
C/,990182,0,MERCADO COLON,null
C/,990183,0,MERCADO GRAO,null
C/,990185,0,MERCADO JESUS,null
C/,990187,0,MERCADO MONTEOLIVETE,null
C/,990189,0,MERCADO NAZARET,null
C/,990190,0,MERCADO POLO DE BERNABE,null
C/,990193,0,MERCADO SAN PEDRO NOLASCO,null
C/,990194,0,MERCADO TORREFIEL,null
C/,990196,0,MERCADO PLAZA REDONDA,null
LLOC,995000,2633,NI�O JESUS,null
LLOC,995001,313,BENIFAZA,null
LLOC,995003,2798,CRUZ MISLATA,null
LLOC,99001,3093,MERCAVALENCIA,null
LLOC,99003,2713,MERCADO BENICALAP,null
LLOC,99005,0,MERCADO BENIMAMET,null
LLOC,99006,2718,MERCADO CABA�AL,null
LLOC,99008,2708,MERCADO CENTRAL,null
LLOC,99010,2721,MERCADO GRAO,null
LLOC,99011,2724,MERCADO JERUSALEN,null
LLOC,99013,2729,MERCADO MALVARROSA,null
LLOC,99015,2714,MERCADO MOSSEN SORELL,null
LLOC,99016,2710,MERCADO NAZARET,null
LLOC,99018,0,MERCADO ROJAS CLEMENTE,null
LLOC,99020,2716,MERCADO SAN PEDRO NOLASCO,null
LLOC,99021,0,MERCADO TORREFIEL,null
LLOC,99022,2728,MERCADO VALVANERA,null
C/,81491,0,EP BLASCO IBA�EZ 35,EP BLASCO IBA�EZ 35
LLOC,999900,0,DOME�O,null
CTRA,999100,0,VALENCIA-BETERA,null
LLOC,990900,0,TRV 1 MASCARON,null
PL,81510,0,EP FINLANDIA 14,null
LLOC,990210,0,PUENTE MONTEOLIVETE,null
LLOC,990121,0,ESTACIONETA (PUENTE),null
LLOC,990123,0,MAR (PUENTE),null
LLOC,990124,0,NUEVE DE OCTUBRE (PUENTE),null
LLOC,990129,0,TRAMO 1 ,null
LLOC,990130,0,TRAMO 2,null
LLOC,990132,0,TRAMO 4-5,null
LLOC,990133,0,TRAMO 6,null
LLOC,990134,0,TRAMO 7,null
LLOC,990136,0,V-15,null
LLOC,990137,0,TRAMO 8,null
LLOC,990139,0,TRAMO 10,null
LLOC,990140,0,TRAMO 11,null
LLOC,999999,0,DESCONOCIDA,null
C/,999998,0,EN PROYECTO,null
C/,81675,11095,FEDERICO ALCACER AGUILAR (DOCTOR EN MEDICINA),FEDERICO ALCACER AGUILAR (DOCTOR EN MEDICINA
C/,990110,0,ST BARBARA (F),null
C/,990112,0,PICASENT (F),null
C/,990113,0,POU APARISI (F),null
LLOC,990115,0,EP GREMIS JT 4 (F),null
LLOC,990116,0,ADEMUZ (PUENTE),null
LLOC,990117,0,ANGEL CUSTODIO (PUENTE),null
C/,81721,11191,JES�S RIBERA FAIG (M�SIC),JESUS RIBERA FAIG (MUSIC)
PL,81771,0,EP SECTOR LA TORRE C,EP SECTOR LA TORRE C
C/,81492,3577,ALBERTO GISBERT (PINTOR),ALBERTO GISBERT (PINTOR)
C/,9960,299,BENEIXIDA,BENEGIDA
LLOC,99023,2711,MERCADO PLAZA REDONDA,null
C/,81723,0,EP CONSTITUCI�N 169,EP CONSTITUCION 169
CAMI,3180,90,ALQUERIA DELS AIGUAMOLLS,ALQUERIA AIGUAMOLLS
ENTD,3990,117,ALQUERIA DE MITGETA,ALQUERIA MICHETA
ENTD,15930,475,CASA DEL GALLINETA,CASA GALLINETA
C/,29610,861,FEDERICO TOM�S,FEDERICO TOMAS
ENTD,30330,882,FISCAL,FISCAL
LLOC,59820,1719,PINEDO,PLAYA DE PINEDO
C/,71490,2054,SIURANA,null
C/,6690,2332,ARQUITECTE GUASTAVINO,ARQUITECTO GUASTAVINO
C/,59970,2542,POETA ALBERTO LISTA,POETA ALBERTO LISTA
C/,8400,2731,BALUARD,BALUARTE
C/,242490,0,E.P.PE.CIRCUNVALACION,null
C/,242491,0,EN PROYECTO PE. SALESIANOS,null
C/,242492,0,EN PROYECTO PE. A PIO XII,null
C/,252188,0,ALQUERIA BONDIA,null
C/,262617,0,EN PROYECTO N 3,null
C/,272161,0,E.P. PA. LA ELIANA,null
C/,272163,0,E.P. PA. ANTONIO LAZARO,null
C/,272164,0,E.P. 2. PA. ANTONIO LAZARO,null
C/,272165,0,E.P. PA. POLI�A,null
C/,272166,0,E.P. 2.PA. POLI�A,null
C/,272167,0,E.P. PE. ANTONIO LAZARO,null
C/,272168,0,E.P. PE. SANTISIMA CRUZ,null
C/,272169,0,E.P. PA. DIONISIO BOIX,null
C/,282123,0,E.P. PE. PICHERA,null
C/,282124,0,E.P. PA. CAMINO DE MONCADA,null
C/,282125,0,E.P. PA. COMPOSITOR VERT,null
C/,282126,0,E.P. PA. DR. CONSTANTINO GOMEZ FERRER,null
C/,282127,0,JJOSE ANTONIO,null
C/,282128,0,E.P. PA. CAMINO MASARROCHOS,null
C/,242483,0,EN PROYECTO PE.REINA VIOLANTE,null
C/,242485,0,NUMERO CINCUENTA Y UNO ZP,null
C/,242486,0,EN PROYECTO PA. CIRCUNVALACION,null
C/,242487,0,EN PROYECTO PE. CIUDAD DE CORDOBA,null
C/,282129,0,E.P. PA. CAMINO DE GODELLA,null
C/,282130,0,E.P. PE. CAMINO DE MONCADA,null
C/,282131,0,LIMITE NORTE BORBOTO,null
C/,282132,0,LIMITE OESTE BORBOTO,null
C/,282135,0,E.P. PE. JOSE ANTONIO,null
C/,282136,0,E.P. PE. LIMITE NORTE BORBOTO,null
C/,313181,0,E.P. PA. ESLORA,null
C/,333116,0,SIN NOMBRE JT.MANUEL IRANZO,null
C/,333117,0,E.P.PE.LITOGRAFO PASCUAL Y ABAD,null
C/,333119,0,E.P.PA.SALVADOR PERLES,null
C/,333133,0,E.P. PE. TOMAS DE VILLARROYA,null
C/,333170,0,E.P. PR. SAN JOSE,null
C/,333171,0,E.P. PA. ESPRONCEDA,null
C/,333173,0,E.P. PA. SENDA SECANET,null
C/,333174,0,ESPALDAS A CAMPAMENTO,null
C/,333183,0,E.P. PA. A DELS GLORIOSOS,null
C/,404060,0,NUMERO CUARENTA,null
C/,444410,0,MONTCABRER,null
C/,444421,0,NUMERO UNO,null
C/,444423,0,NUMERO TRES,null
C/,444424,0,NUMERO CUATRO,null
C/,444426,0,NUMERO SEIS,null
C/,444427,0,NUMERO SIETE,null
C/,444428,0,NUMERO OCHO,null
C/,444433,0,NUMERO TRECE,null
C/,444434,0,NUMERO CATORCE,null
C/,444436,0,NUMERO DIECISEIS,null
C/,444437,0,NUMERO DIECISIETE,null
C/,444438,0,NUMERO DIECIOCHO,null
C/,444440,0,NUMERO VEINTE,null
C/,444441,0,NUMERO VEINTIUNO,null
C/,444442,0,NUMERO VEINTIDOS,null
C/,444444,0,NUMERO VEINTICUATRO,null
C/,444445,0,NUMERO VEINTICINCO,null
C/,444446,0,NUMERO VEINTISEIS,null
C/,444448,0,NUMERO VEINTIOCHO,null
C/,444449,0,NUMERO VEINTINUEVE,null
C/,444450,0,NUMERO TREINTA,null
C/,444452,0,NUMERO TREINTA Y DOS,null
C/,444453,0,NUMERO TREINTA Y TRES,null
C/,444454,0,NUMERO TREINTA Y CUATRO,null
C/,444456,0,NUMERO TREINTA Y SEIS,null
C/,444457,0,NUMERO TREINTA Y SIETE,null
C/,444458,0,NUMERO TREINTA Y OCHO,null
C/,444461,0,NUMERO CUARENTA Y UNO,null
C/,444462,0,NUMERO CUARENTA Y DOS,null
C/,444463,0,NUMERO CUARENTA Y TRES,null
C/,444465,0,NUMERO CUARENTA Y CINCO,null
C/,444466,0,NUMERO CUARENTA Y SEIS,null
C/,444467,0,NUMERO CUARENTA Y SIETE,null
C/,444468,0,NUMERO CUARENTA Y OCHO,null
C/,444470,0,NUMERO CINCUENTA,null
C/,555100,0,NUMERO CINCUENTA Y NUEVE,null
C/,555101,0,EN PROYECTO J.51 INGENIERO JOAQUIN BENLLOCH,null
C/,555554,0,E.P.PARAL.BERNAT DESCOLL,null
C/,555571,0,E.P.J.91 ING JOAQUIN BEN.,null
C/,555572,0,E.P.J.89 CARRERA MALILLA,null
C/,555593,0,NUMERO CINCUENTA Y DOS ZP,null
C/,555594,0,NUMERO CINCUENTA Y TRES,null
C/,555595,0,NUMERO CINCUENTA Y CUATRO,null
C/,555596,0,NUMERO CINCUENTA Y CINCO,null
C/,555598,0,NUMERO CINCUENTA Y SIETE,null
C/,555599,0,NUMERO CINCUENTA Y OCHO,null
C/,632040,0,FUNDICION,null
C/,660440,0,PARTIDA LA PUNTA 16I,null
C/,660441,0,PARTIDA LA PUNTA 15B,null
C/,664690,0,ALQ.DE SAN JOAQUIN,null
C/,888172,0,E.P. PE. ALQUERIA DEL REY,null
C/,888175,0,E.P. PA. CAMINO DEL POHUET,null
C/,888176,0,E.P. PA. CAMINO DE PATERNA A CAMPANAR,null
C/,888178,0,E.P. PA. AVENIDA TAMARINDOS,null
C/,888179,0,E.P. PA. VALLE DE LA BALLESTERA,null
C/,888882,0,EN PROYECTO PA.PIOXII PE.,null
LLOC,990001,0,BARRIO COCOTEROS,null
LLOC,990002,0,BARRIO INFANTA ISABEL,null
LLOC,990005,0,BARRIO SANTA ANA,null
LLOC,990006,0,BARRIO VETERO,null
LLOC,990008,0,PARTIDA ALGIROS,null
LLOC,990009,0,PARTIDA BENIMASOT HORNO DE ALCEDO,null
LLOC,990010,0,PARTIDA BENIMASOT,null
LLOC,990012,0,PARTIDA EN SILVESTRE,null
LLOC,990013,0,PARTIDA JESUS Y ZAFRANAR,null
LLOC,990014,0,PARTIDA DE MANDINGORRA,null
LLOC,990015,0,PARTIDA DE MARCHALENES,null
LLOC,990017,0,PARTIDA PERU Y EL CLERO,null
LLOC,990018,0,PARTIDA DE PONTONS,null
LLOC,990019,0,PARTIDA POU DE APARISI,null
LLOC,990021,0,PARTIDA DE LA ROCHERA,null
LLOC,990022,0,PARTIDA LLANO DE SAN BERNARDO,null
LLOC,990023,0,PDA S.ESTEBAN , VERA , RAMBLA , C.CA,null
LLOC,990025,0,POBLADO BENICALAP,null
LLOC,990026,0,POBLADO DE BENIFARAIG,null
LLOC,990027,0,POBLADO DE BENIFERRI,null
LLOC,990029,0,POBLADO DE BENIMAMET,null
LLOC,990030,0,POBLADO DE BORBOTO,null
LLOC,990031,0,POBLADO DE CAMPANAR,null
LLOC,990033,0,POBLADO CARPESA,null
LLOC,990034,0,POBLADO DE CASTELLAR,null
LLOC,990035,0,POBLADO DE LA PUNTA,null
LLOC,990037,0,POBLADO DE MASARROCHOS,null
LLOC,990039,0,POBLADO DEL PALMAR,null
LLOC,990040,0,POBLADO DEL PERELLO,null
LLOC,990043,0,POBLADO DEL SALER,null
LLOC,990045,3427,DEVESA SALER,null
C/,990071,2939,PG NUM.71,null
C/,990072,2942,PG NUM.12,null
C/,990074,2946,PG NUM.123,null
C/,990076,3258,PG NUM.78,null
C/,990078,2943,PG NUM.23,null
C/,990080,2945,PG NUM.81,null
C/,990082,2772,PG NUM.156,null
C/,990085,2770,PG NUM.154,null
C/,990088,3096,PG NUM 36 RES URB,null
C/,990090,2767,PG NUM 137 RES URB,null
C/,990093,0,PG VEINTISIETE,null
C/,990095,3066,PG NUM 96 RES URB,null
C/,990097,2622,CASAS INGENIERO (F),null
C/,990100,0,PG TREINTA,null
C/,990101,0,PG CIENT TREI SIET,null
C/,990104,0,PG CIENTO TREIN UN,null
C/,990107,0,CABA�AL (F),null
C/,990109,0,VILLAR ARZOBISP (F),null
C/,81389,3336,NELO EL FARINER,NELO EL FARINER
PTGE,81393,3344,QUESA,QUESA
C/,81396,0,EP PADRE BARRANCO 36,null
C/,81397,3302,POETA JOSEP CERVERA I GRIFOL,POETA JOSEP CERVERA I GRIFOL
C/,81408,0,EP ROCHS 64,null
C/,81409,3340,BALADRE,BALADRE
C/,81417,11266,SEBASTIAN GINER SORIANO (LLAURADOR),null
C/,81425,3446,RAMON PORTA CARRASCO,RAMON PORTA CARRASCO
C/,81427,3450,MATILDE SALVADOR,MATILDE SALVADOR (COMPOSITORA)
C/,81428,0,EP BENAVITES 5,null
C/,81438,3520,ROURE VALENCIA,ROURE VALENCIA
ENTD,81445,3437,ESCALES,ESCALES
C/,444432,0,NUMERO DOCE,null
C/,81453,0,EP SANT�SIMA CRUZ 7,EP SANTISIMA CRUZ 7
C/,81457,0,EP ARQUITECTO LUCINI JT 32,null
CAMI,81462,3416,TRILLADORA DEL TOCAIO,TRILLADORA DEL TOCAYO
C/,81468,0,EP REAL DE GANDIA 6,null
LLOC,111101,0,PUENTE ANGEL CUSTODIO,null
LLOC,111102,0,ARAGON (PUENTE),null
LLOC,111103,0,CAMPANAR (PUENTE),null
LLOC,111104,0,PUENTE DE LA EXPOSICION,null
LLOC,111105,0,REAL (PUENTE),null
LLOC,111106,0,SAN JOSE (PUENTE),null
LLOC,111107,0,SERRANOS (PUENTE),null
LLOC,111108,0,TRINIDAD (PUENTE),null
LLOC,111109,0,PLAYA DE LEVANTE,null
LLOC,111110,0,PLAYA DE LA MALVARROSA,null
